"Date","Price","Open","High","Low","Change %"
"09/23/2025","3.129","3.128","3.129","3.128","0.03%"
"09/22/2025","3.128","3.089","3.128","3.089","1.26%"
"09/19/2025","3.089","3.028","3.089","3.028","2.01%"
"09/18/2025","3.028","3.004","3.055","3.004","0.80%"
"09/17/2025","3.004","3.040","3.040","3.004","-1.18%"
"09/16/2025","3.040","3.096","3.096","3.040","-1.81%"
"09/15/2025","3.096","3.032","3.096","3.032","2.11%"
"09/12/2025","3.032","3.015","3.034","3.015","0.56%"
"09/11/2025","3.015","3.050","3.050","3.015","-1.15%"
"09/10/2025","3.050","3.031","3.050","3.031","1.43%"
"09/09/2025","3.007","3.053","3.053","2.980","-1.51%"
"09/08/2025","3.053","3.053","3.053","3.053","0.00%"
"09/05/2025","3.053","3.065","3.065","3.045","-0.39%"
"09/04/2025","3.065","3.088","3.088","3.050","-0.74%"
"09/03/2025","3.088","3.089","3.089","3.088","0.26%"
"09/02/2025","3.080","3.084","3.088","3.074","-0.13%"
"09/01/2025","3.084","3.071","3.092","3.071","0.42%"
"08/29/2025","3.071","3.079","3.079","3.071","0.43%"
"08/28/2025","3.058","3.133","3.133","3.058","-2.39%"
"08/27/2025","3.133","3.095","3.133","3.095","1.23%"
"08/26/2025","3.095","3.073","3.105","3.073","0.72%"
"08/25/2025","3.073","3.090","3.090","3.072","-0.55%"
