"Date","Price","Open","High","Low","Change %"
"09/23/2025","2.630","2.630","2.630","2.590","0.00%"
"09/22/2025","2.630","2.580","2.630","2.580","1.94%"
"09/19/2025","2.580","2.729","2.729","2.540","-5.49%"
"09/18/2025","2.730","2.530","2.730","2.530","7.91%"
"09/17/2025","2.530","2.560","2.560","2.530","-1.17%"
"09/16/2025","2.560","2.570","2.570","2.540","-0.35%"
"09/15/2025","2.569","2.500","2.580","2.500","2.76%"
"09/12/2025","2.500","2.500","2.530","2.500","0.00%"
"09/11/2025","2.500","2.570","2.580","2.500","-3.10%"
"09/10/2025","2.580","2.580","2.580","2.530","0.78%"
"09/09/2025","2.560","2.550","2.580","2.530","0.39%"
"09/08/2025","2.550","2.550","2.550","2.550","0.00%"
"09/05/2025","2.550","2.550","2.580","2.530","0.04%"
"09/04/2025","2.549","2.530","2.550","2.530","0.75%"
"09/03/2025","2.530","2.560","2.570","2.530","-1.94%"
"09/02/2025","2.580","2.430","2.580","2.430","6.17%"
"09/01/2025","2.430","2.480","2.480","2.430","-2.02%"
"08/29/2025","2.480","2.431","2.480","2.431","2.90%"
"08/28/2025","2.410","2.480","2.480","2.410","-2.82%"
"08/27/2025","2.480","2.450","2.499","2.450","1.18%"
"08/26/2025","2.451","2.270","2.471","2.250","8.93%"
"08/25/2025","2.250","2.250","2.280","2.250","0.00%"
