"Date","Price","Open","High","Low","Change %"
"09/23/2025","3.079","3.178","3.178","3.079","-3.18%"
"09/22/2025","3.180","3.051","3.180","2.882","4.26%"
"09/19/2025","3.050","3.001","3.050","3.001","1.63%"
"09/18/2025","3.001","2.931","3.001","2.909","2.35%"
"09/17/2025","2.932","2.940","2.990","2.830","-0.31%"
"09/16/2025","2.941","2.750","2.990","2.750","7.37%"
"09/15/2025","2.739","2.882","2.882","2.739","-4.83%"
"09/12/2025","2.878","2.821","2.910","2.821","2.13%"
"09/11/2025","2.818","2.801","2.860","2.801","0.71%"
"09/10/2025","2.798","2.820","2.859","2.798","-0.78%"
"09/09/2025","2.820","2.721","2.830","2.592","3.30%"
"09/08/2025","2.730","2.730","2.730","2.730","0.07%"
"09/05/2025","2.728","2.689","2.750","2.689","1.34%"
"09/04/2025","2.692","2.701","2.749","2.692","-0.26%"
"09/03/2025","2.699","2.790","2.790","2.620","-3.30%"
"09/02/2025","2.791","2.721","2.791","2.680","1.90%"
"09/01/2025","2.739","2.788","2.788","2.650","-1.83%"
"08/29/2025","2.790","2.768","2.790","2.768","2.16%"
"08/28/2025","2.731","2.749","2.801","2.731","-0.73%"
"08/27/2025","2.751","2.652","2.751","2.652","3.81%"
"08/26/2025","2.650","2.289","2.660","2.289","15.72%"
"08/25/2025","2.290","2.241","2.290","2.241","1.78%"
