"Date","Price","Open","High","Low","Change %"
"09/23/2025","2.938","2.934","2.938","2.934","0.14%"
"09/22/2025","2.934","2.883","2.934","2.883","1.77%"
"09/19/2025","2.883","2.820","2.883","2.820","2.23%"
"09/18/2025","2.820","2.784","2.834","2.784","1.29%"
"09/17/2025","2.784","2.815","2.815","2.784","-1.10%"
"09/16/2025","2.815","2.882","2.882","2.815","-2.32%"
"09/15/2025","2.882","2.834","2.884","2.834","1.69%"
"09/12/2025","2.834","2.823","2.834","2.823","0.39%"
"09/11/2025","2.823","2.837","2.837","2.823","-0.49%"
"09/10/2025","2.837","2.842","2.842","2.837","0.57%"
"09/09/2025","2.821","2.872","2.872","2.804","-1.78%"
"09/08/2025","2.872","2.872","2.872","2.872","0.00%"
"09/05/2025","2.872","2.908","2.908","2.849","-1.24%"
"09/04/2025","2.908","2.927","2.927","2.881","-0.65%"
"09/03/2025","2.927","2.915","2.927","2.911","0.41%"
"09/02/2025","2.915","2.916","2.942","2.906","-0.03%"
"09/01/2025","2.916","2.914","2.916","2.907","0.07%"
"08/29/2025","2.914","2.905","2.927","2.905","0.31%"
"08/28/2025","2.905","3.004","3.004","2.905","-3.30%"
"08/27/2025","3.004","2.960","3.013","2.960","1.49%"
"08/26/2025","2.960","2.919","2.960","2.919","1.40%"
"08/25/2025","2.919","2.947","2.947","2.894","-0.95%"
