"Date","Price","Open","High","Low","Change %"
"09/23/2025","2.609","2.606","2.609","2.606","0.12%"
"09/22/2025","2.606","2.554","2.606","2.554","2.04%"
"09/19/2025","2.554","2.492","2.554","2.492","2.49%"
"09/18/2025","2.492","2.454","2.517","2.454","1.55%"
"09/17/2025","2.454","2.460","2.460","2.454","-0.24%"
"09/16/2025","2.460","2.521","2.521","2.460","-2.42%"
"09/15/2025","2.521","2.466","2.521","2.466","2.23%"
"09/12/2025","2.466","2.441","2.466","2.441","1.02%"
"09/11/2025","2.441","2.453","2.453","2.441","-0.49%"
"09/10/2025","2.453","2.459","2.459","2.453","0.49%"
"09/09/2025","2.441","2.472","2.472","2.418","-1.25%"
"09/08/2025","2.472","2.472","2.472","2.472","0.00%"
"09/05/2025","2.472","2.505","2.505","2.456","-1.32%"
"09/04/2025","2.505","2.516","2.516","2.483","-0.44%"
"09/03/2025","2.516","2.496","2.516","2.487","0.80%"
"09/02/2025","2.496","2.509","2.509","2.496","-0.52%"
"09/01/2025","2.509","2.498","2.509","2.498","0.44%"
"08/29/2025","2.498","2.502","2.520","2.498","-0.16%"
"08/28/2025","2.502","2.607","2.607","2.502","-4.03%"
"08/27/2025","2.607","2.555","2.607","2.555","2.04%"
"08/26/2025","2.555","2.514","2.555","2.514","1.63%"
"08/25/2025","2.514","2.545","2.545","2.483","-1.22%"
