"Date","Price","Open","High","Low","Change %"
"09/23/2025","2.523","2.571","2.571","2.523","-1.87%"
"09/22/2025","2.571","2.469","2.571","2.469","4.13%"
"09/19/2025","2.469","2.431","2.469","2.431","1.56%"
"09/18/2025","2.431","2.435","2.463","2.431","-0.16%"
"09/17/2025","2.435","2.438","2.438","2.403","-0.12%"
"09/16/2025","2.438","2.448","2.448","2.438","-0.41%"
"09/15/2025","2.448","2.414","2.448","2.414","1.41%"
"09/12/2025","2.414","2.317","2.414","2.317","4.19%"
"09/11/2025","2.317","2.282","2.317","2.229","1.53%"
"09/10/2025","2.282","2.258","2.282","2.258","1.15%"
"09/09/2025","2.256","2.197","2.256","2.167","2.69%"
"09/08/2025","2.197","2.197","2.197","2.197","0.00%"
"09/05/2025","2.197","2.174","2.197","2.144","1.06%"
"09/04/2025","2.174","2.175","2.175","2.145","-0.05%"
"09/03/2025","2.175","2.157","2.175","2.157","0.37%"
"09/02/2025","2.167","2.175","2.175","2.155","-0.37%"
"09/01/2025","2.175","2.174","2.175","2.173","0.05%"
"08/29/2025","2.174","2.173","2.191","2.173","0.51%"
"08/28/2025","2.163","2.268","2.268","2.163","-4.63%"
"08/27/2025","2.268","2.211","2.270","2.211","2.58%"
"08/26/2025","2.211","2.172","2.211","2.172","1.80%"
"08/25/2025","2.172","2.182","2.182","2.142","-0.46%"
