"Date","Price","Open","High","Low","Change %"
"09/23/2025","3.530","3.530","3.530","3.530","0.00%"
"09/22/2025","3.530","3.494","3.530","3.494","1.03%"
"09/19/2025","3.494","3.465","3.494","3.465","0.84%"
"09/18/2025","3.465","3.442","3.472","3.442","0.67%"
"09/17/2025","3.442","3.447","3.447","3.432","-0.15%"
"09/16/2025","3.447","3.494","3.494","3.447","-1.35%"
"09/15/2025","3.494","3.445","3.494","3.445","1.42%"
"09/12/2025","3.445","3.461","3.461","3.445","-0.46%"
"09/11/2025","3.461","3.466","3.466","3.456","-0.14%"
"09/10/2025","3.466","3.470","3.470","3.466","-0.32%"
"09/09/2025","3.477","3.495","3.495","3.477","-0.52%"
"09/08/2025","3.495","3.495","3.495","3.495","0.00%"
"09/05/2025","3.495","3.529","3.529","3.495","-0.96%"
"09/04/2025","3.529","3.546","3.546","3.519","-0.48%"
"09/03/2025","3.546","3.529","3.546","3.529","0.20%"
"09/02/2025","3.539","3.563","3.563","3.539","-0.67%"
"09/01/2025","3.563","3.564","3.564","3.563","-0.03%"
"08/29/2025","3.564","3.591","3.591","3.564","-0.75%"
"08/28/2025","3.591","3.670","3.670","3.591","-2.15%"
"08/27/2025","3.670","3.651","3.670","3.651","0.52%"
"08/26/2025","3.651","3.635","3.651","3.635","0.44%"
"08/25/2025","3.635","3.689","3.689","3.635","-1.46%"
